Modelo,F1_Clean,AUC_Clean,Time_ms_img_Clean,F1_Noise_Leve,AUC_Noise_Leve,Time_ms_img_Noise_Leve,F1_Noise_Moderada,AUC_Noise_Moderada,Time_ms_img_Noise_Moderada,F1_Noise_Extrema,AUC_Noise_Extrema,Time_ms_img_Noise_Extrema,F1_Blur_Leve,AUC_Blur_Leve,Time_ms_img_Blur_Leve,F1_Blur_Moderada,AUC_Blur_Moderada,Time_ms_img_Blur_Moderada,F1_Blur_Extrema,AUC_Blur_Extrema,Time_ms_img_Blur_Extrema,F1_Contrast_Leve,AUC_Contrast_Leve,Time_ms_img_Contrast_Leve,F1_Contrast_Moderada,AUC_Contrast_Moderada,Time_ms_img_Contrast_Moderada,F1_Contrast_Extrema,AUC_Contrast_Extrema,Time_ms_img_Contrast_Extrema
mobilenetv3_large_100,0.9994999994999996,1.0,0.7566421031951904,0.13806869990176007,0.7495671666666667,0.911374568939209,0.1,0.6531806666666666,0.8672361373901367,0.14432467725704,0.6972621666666667,0.8823567628860474,1.0,1.0,1.0801273584365845,0.9934886838167751,0.9999663333333333,1.1130841970443726,0.8724607799378586,0.9834663333333333,1.2397277355194092,0.9955009600215585,0.999979,0.7978065013885498,0.585751516560239,0.8790624999999999,0.796527624130249,0.10025691948805245,0.43950616666666664,0.8073413372039795
efficientnet_b3,0.9994999994999995,1.0,2.0004762411117554,0.658559930222998,0.9754668333333333,1.9987918138504026,0.1,0.6160140000000001,1.9983118772506714,0.1,0.5244166666666666,1.995792746543884,0.9984999954999835,0.9999973333333333,2.003689169883728,0.9814697707511995,0.9998776666666667,2.005741000175476,0.8289277473390947,0.9851050000000001,2.0260826349258423,0.9954969097935182,0.9999896666666667,1.989266276359558,0.6821489967409722,0.9711998333333333,1.9966773986816408,0.217784647557566,0.5923565,1.998373031616211
densenet201,0.9984999994999995,0.9999993333333334,3.3844265937805176,0.9875104870170082,0.999947,3.337875485420227,0.3546984449797521,0.9045751666666666,3.333648681640625,0.10851351224444437,0.5744805,3.3355497121810913,0.9964969633521976,0.9999953333333333,3.360823631286621,0.9814468931763798,0.9999063333333333,3.3596872091293335,0.8220343567543624,0.9821163333333334,3.364772319793701,0.9764856517816574,0.9996656666666667,3.3212828636169434,0.5752881114310733,0.9313761666666667,3.330469012260437,0.1,0.46073500000000006,3.318490505218506
multicancernet_attention,0.9970014855283897,0.9999796666666667,1.6764330863952637,0.38422132021452327,0.9295893333333334,1.6938228607177734,0.1,0.426907,1.7133005857467651,0.1,0.3674616666666667,1.6965252161026,0.9960019316205253,0.999957,1.7067924737930298,0.9910042504250425,0.9998786666666666,1.718690037727356,0.9435710450811312,0.9969916666666666,1.7251713275909424,0.9814876239165815,0.9996666666666667,1.690430998802185,0.3377154207247045,0.7671646666666666,1.6693542003631592,0.10965541335686968,0.5756275,1.682768702507019
convformer_s18,0.9904998161215166,0.9997083333333333,3.316205382347107,0.9885112816202172,0.9997180000000001,2.955526351928711,0.7829390803626802,0.9802986666666667,2.944671154022217,0.11359024578622061,0.8084893333333334,2.9436917304992676,0.9889985328699091,0.999725,2.9494659900665283,0.9810467657572044,0.9993930000000001,2.9612425565719604,0.7281646981903438,0.9685800000000001,2.9687057733535767,0.9729674452855949,0.998733,2.940425395965576,0.7578609203132908,0.9416453333333332,2.92329740524292,0.28656562937284935,0.6271961666666667,2.9252378940582275
mobilevit_s,0.9899968939344924,0.999815,2.0171377658843994,0.17227130236534627,0.8477633333333333,2.020231246948242,0.10103801999841852,0.565737,2.0158079862594604,0.1,0.5563923333333334,2.0199930667877197,0.9930023520592335,0.9998293333333332,2.0408222675323486,0.9875033546358765,0.999556,2.0414754152297974,0.8816801345849029,0.9921819999999999,2.054218888282776,0.9579223830399206,0.9979136666666667,2.0162668228149414,0.2033132202360494,0.8735163333333333,2.0222792625427246,0.1,0.6069555,2.0131300687789917
dinov2,0.9890215017406166,0.9998223333333334,10.544662594795227,0.9507205824798233,0.9988140000000001,10.422401547431946,0.648072091659415,0.9624083333333333,10.421095728874207,0.28159186185694746,0.7291068333333334,10.398954033851624,0.9850525393653293,0.9996999999999999,10.39605176448822,0.9829330565558181,0.999387,10.390321016311646,0.8172800158358899,0.984203,10.399689555168152,0.9780187430372754,0.9997253333333334,10.350845575332642,0.9474920400663852,0.9990126666666665,10.373108744621277,0.7995192847523651,0.9932381666666665,10.3710777759552
multicancernet_attention_hybrid,0.9879987158461294,0.999634,1.731266975402832,0.3981897053971208,0.9228303333333333,1.7155061960220337,0.21056568591827735,0.7219875,1.7284921407699585,0.22099940377249405,0.5923923333333333,1.7211185693740845,0.9859937009531813,0.9995296666666666,1.7382721900939941,0.9805091598998266,0.9992493333333333,1.7332236766815186,0.9414337383762564,0.9982763333333332,1.743113398551941,0.9654586811516557,0.9989936666666667,1.7087708711624146,0.15618422613751956,0.8211045,1.712904930114746,0.10134361895357669,0.7033968333333332,1.7150506973266602
resnet50,0.9820167559318527,0.9993453333333333,2.246142029762268,0.1875,0.737568,2.2476491928100586,0.12867364753962388,0.48116133333333333,2.2337534427642822,0.1001201441730076,0.7111946666666666,2.2424914836883545,0.982520900406187,0.9993973333333332,2.2662513256073,0.9805394247133262,0.9990263333333333,2.268288254737854,0.8152978856170345,0.9723723333333333,2.270352602005005,0.9218567200187489,0.9902270000000001,2.2435269355773926,0.33518961330526614,0.7279243333333334,2.2378040552139282,0.28182152406947847,0.7596843333333333,2.2464104890823364
vit_base_patch16_224,0.9764468702937552,0.999047,7.139760136604309,0.9749134266922923,0.999059,7.142599701881409,0.9569783508020377,0.998548,7.13788378238678,0.8331499210719714,0.9864356666666667,7.152469515800476,0.9734588050959185,0.9990496666666666,7.134305357933044,0.9666419160806891,0.9988726666666667,7.140880584716797,0.8983360616358673,0.9951546666666666,7.1412001848220825,0.9574295334528379,0.9975183333333334,7.127341389656067,0.5898206832559459,0.9261573333333334,7.127344965934753,0.1,0.5086288333333333,7.196994423866272
